symbol,name,weight,shares_held,market_value
MSFT,Microsoft Corp,12.37%,8400000.0,3800000000.0
NVDA,NVIDIA Corp,11.44%,27900000.0,3800000000.0
AAPL,Apple Inc,11.31%,16300000.0,3800000000.0
AMZN,Amazon.com Inc,6.52%,10400000.0,3800000000.0
META,Meta Platforms Inc Class A,4.14%,2500000.0,3800000000.0
GOOGL,Alphabet Inc Class A,3.97%,6700000.0,3800000000.0
GOOG,Alphabet Inc Class C,3.33%,5500000.0,3800000000.0
LLY,Eli Lilly and Co,2.65%,905500.0,3800000000.0
AVGO,Broadcom Inc,2.56%,494600.0,3800000000.0
TSLA,Tesla Inc,2.01%,3200000.0,3800000000.0
UNH,UnitedHealth Group Inc,1.64%,1000000.0,3800000000.0
V,Visa Inc Class A,1.59%,1800000.0,3800000000.0
COST,Costco Wholesale Corp,1.40%,503200.0,3800000000.0
MA,Mastercard Inc Class A,1.37%,930800.0,3800000000.0
NFLX,Netflix Inc,1.08%,489600.0,3800000000.0
AMD,Advanced Micro Devices Inc,0.94%,1800000.0,3800000000.0
ADBE,Adobe Inc,0.87%,508200.0,3800000000.0
CRM,Salesforce Inc,0.87%,1100000.0,3800000000.0
TMO,Thermo Fisher Scientific Inc,0.78%,433100.0,3800000000.0
LIN,Linde PLC,0.78%,545100.0,3800000000.0
ACN,Accenture PLC Class A,0.71%,714100.0,3800000000.0
INTU,Intuit Inc,0.66%,317500.0,3800000000.0
GE,GE Aerospace,0.65%,1200000.0,3800000000.0
DHR,Danaher Corp,0.62%,747600.0,3800000000.0
ISRG,Intuitive Surgical Inc,0.58%,402500.0,3800000000.0
NOW,ServiceNow Inc,0.57%,232900.0,3800000000.0
SPGI,S&P Global Inc,0.53%,363200.0,3800000000.0
LRCX,Lam Research Corp,0.51%,148700.0,3800000000.0
BKNG,Booking Holdings Inc,0.50%,38600.0,3800000000.0
ELV,Elevance Health Inc,0.46%,264100.0,3800000000.0
PGR,Progressive Corp,0.45%,664100.0,3800000000.0
VRTX,Vertex Pharmaceuticals Inc,0.45%,292600.0,3800000000.0
REGN,Regeneron Pharmaceuticals Inc,0.42%,120500.0,3800000000.0
BLK,BlackRock Inc,0.40%,158400.0,3800000000.0
KLAC,KLA Corp,0.40%,153300.0,3800000000.0
PANW,Palo Alto Networks Inc,0.39%,366700.0,3800000000.0
DE,Deere & Co,0.36%,294000.0,3800000000.0
CI,The Cigna Group,0.35%,322700.0,3800000000.0
SNPS,Synopsys Inc,0.34%,173500.0,3800000000.0
TMUS,T-Mobile US Inc,0.34%,587300.0,3800000000.0
CMG,Chipotle Mexican Grill Inc,0.33%,1600000.0,3800000000.0
CRWD,CrowdStrike Holdings Inc Class A,0.32%,262100.00000000003,3800000000.0
FI,Fiserv Inc,0.32%,664200.0,3800000000.0
CDNS,Cadence Design Systems Inc,0.31%,308200.0,3800000000.0
ANET,Arista Networks Inc,0.31%,288400.0,3800000000.0
MCK,McKesson Corp,0.29%,147500.0,3800000000.0
ZTS,Zoetis Inc Class A,0.29%,518799.99999999994,3800000000.0
TDG,TransDigm Group Inc,0.27%,63500.0,3800000000.0
EOG,EOG Resources Inc,0.26%,652400.0,3800000000.0
EQIX,Equinix Inc,0.26%,107600.0,3800000000.0
SHW,Sherwin-Williams Co,0.25%,264500.0,3800000000.0
MCO,Moody's Corporation,0.24%,179400.0,3800000000.0
ABNB,Airbnb Inc Ordinary Shares - Class A,0.24%,499200.0,3800000000.0
CEG,Constellation Energy Corp,0.24%,357500.0,3800000000.0
CTAS,Cintas Corp,0.23%,98500.0,3800000000.0
ORLY,O'Reilly Automotive Inc,0.23%,66600.0,3800000000.0
PYPL,PayPal Holdings Inc,0.22%,1200000.0,3800000000.0
ROP,Roper Technologies Inc,0.22%,122000.0,3800000000.0
MRVL,Marvell Technology Inc,0.22%,979200.0,3800000000.0
MAR,Marriott International Inc Class A,0.21%,272200.0,3800000000.0
EW,Edwards Lifesciences Corp,0.20%,685900.0,62800000.0
HLT,Hilton Worldwide Holdings Inc,0.20%,284700.0,62800000.0
ADSK,Autodesk Inc,0.19%,242200.0,62800000.0
AZO,AutoZone Inc,0.19%,19600.0,62800000.0
CPRT,Copart Inc,0.18%,995200.0,62800000.0
PLTR,Palantir Technologies Inc Ordinary Share...,0.18%,2200000.0,62800000.0
WDAY,Workday Inc Class A,0.17%,241400.0,62800000.0
DXCM,DexCom Inc,0.17%,451000.0,62800000.0
LHX,L3Harris Technologies Inc,0.16%,215100.0,62800000.0
HUM,Humana Inc,0.16%,137000.0,62800000.0
STZ,Constellation Brands Inc Class A,0.16%,183000.0,62800000.0
