symbol,name,weight,shares_held,market_value
MSFT,Microsoft Corp,8.70%,55000000.0,24900000000.0
AAPL,Apple Inc,8.46%,113500000.0,24900000000.0
NVDA,NVIDIA Corp,8.05%,182000000.0,24900000000.0
AMZN,Amazon.com Inc,5.22%,77000000.0,24900000000.0
AVGO,Broadcom Inc,4.93%,8900000.0,24900000000.0
META,Meta Platforms Inc Class A,4.63%,25800000.0,24900000000.0
GOOGL,Alphabet Inc Class A,2.80%,43500000.0,24900000000.0
GOOG,Alphabet Inc Class C,2.70%,41600000.0,24900000000.0
COST,Costco Wholesale Corp,2.54%,8500000.0,24900000000.0
TSLA,Tesla Inc,2.45%,35700000.0,24900000000.0
NFLX,Netflix Inc,1.95%,8199999.999999999,24900000000.0
AMD,Advanced Micro Devices Inc,1.70%,30900000.0,24900000000.0
ADBE,Adobe Inc,1.58%,8600000.0,24900000000.0
PEP,PepsiCo Inc,1.53%,26300000.0,24900000000.0
QCOM,Qualcomm Inc,1.47%,21300000.0,24900000000.0
LIN,Linde PLC,1.41%,9200000.0,24900000000.0
TMUS,T-Mobile US Inc,1.38%,22400000.0,24900000000.0
AMAT,Applied Materials Inc,1.29%,15800000.0,24900000000.0
CSCO,Cisco Systems Inc,1.26%,77000000.0,24900000000.0
INTU,Intuit Inc,1.19%,5300000.0,24900000000.0
TXN,Texas Instruments Inc,1.18%,17400000.0,24900000000.0
AMGN,Amgen Inc,1.12%,10300000.0,24900000000.0
ISRG,Intuitive Surgical Inc,1.05%,6800000.0,24900000000.0
MU,Micron Technology Inc,1.05%,21200000.0,24900000000.0
CMCSA,Comcast Corp Class A,1.00%,74800000.0,24900000000.0
HON,Honeywell International Inc,0.93%,12400000.0,24900000000.0
LRCX,Lam Research Corp,0.92%,2500000.0,24900000000.0
BKNG,Booking Holdings Inc,0.90%,648400.0,24900000000.0
INTC,Intel Corp,0.87%,81400000.0,24900000000.0
VRTX,Vertex Pharmaceuticals Inc,0.82%,4900000.0,24900000000.0
REGN,Regeneron Pharmaceuticals Inc,0.77%,2100000.0,24900000000.0
ADI,Analog Devices Inc,0.76%,9500000.0,24900000000.0
KLAC,KLA Corp,0.73%,2600000.0,24900000000.0
PANW,Palo Alto Networks Inc,0.70%,6200000.0,24900000000.0
ADP,Automatic Data Processing Inc,0.65%,7800000.0,24900000000.0
PDD,PDD Holdings Inc ADR,0.62%,12800000.0,24900000000.0
ASML,ASML Holding NV ADR,0.62%,1700000.0,24900000000.0
SNPS,Synopsys Inc,0.61%,2900000.0,24900000000.0
SBUX,Starbucks Corp,0.60%,21700000.0,24900000000.0
MDLZ,Mondelez International Inc Class A,0.60%,25600000.0,24900000000.0
